playerid,birthyear,birthcountry,deathyear,namefirst,namelast,weight,height,bats,throws
busbypa01,1918.0,USA,2003.0,Paul,Busby,175.0,73.0,L,R
busbyst01,1949.0,USA,,Steve,Busby,205.0,74.0,R,R
buschbr01,1981.0,USA,,Brian,Buscher,200.0,72.0,L,R
buschdo01,1946.0,USA,,Don,Buschhorn,170.0,72.0,R,R
busched01,1917.0,USA,1987.0,Ed,Busch,175.0,70.0,R,R
buschma01,1984.0,USA,,Matt,Buschmann,205.0,75.0,R,R
buschmi01,1968.0,USA,,Mike,Busch,245.0,77.0,R,R
busenal01,1990.0,USA,,Alan,Busenitz,180.0,73.0,R,R
bushda01,1979.0,USA,,Dave,Bush,205.0,74.0,R,R
bushdo01,1887.0,USA,1972.0,Donie,Bush,140.0,66.0,B,R
bushefr01,1906.0,USA,1972.0,Frank,Bushey,180.0,72.0,R,R
busheja01,1886.0,USA,1955.0,Jack,Bushelman,175.0,74.0,R,R
bushgu01,1901.0,USA,1985.0,Guy,Bush,175.0,72.0,R,R
bushho01,1972.0,USA,,Homer,Bush,180.0,70.0,R,R
bushich01,1967.0,USA,,Chris,Bushing,183.0,72.0,R,R
bushjo01,1892.0,USA,1974.0,Bullet Joe,Bush,173.0,69.0,R,R
bushma01,1986.0,USA,,Matt,Bush,180.0,69.0,R,R
bushodo01,1856.0,USA,1908.0,Doc,Bushong,165.0,71.0,R,R
bushra01,1958.0,USA,,Randy,Bush,186.0,73.0,L,L
buskejo01,1902.0,USA,1949.0,Joe,Buskey,160.0,65.0,R,R
buskemi01,1949.0,USA,,Mike,Buskey,160.0,71.0,R,R
busketo01,1947.0,USA,1998.0,Tom,Buskey,200.0,75.0,R,R
bussera01,1948.0,USA,,Ray,Busse,175.0,76.0,R,R
bussni01,1986.0,USA,,Nick,Buss,190.0,74.0,L,R
butchha01,1886.0,USA,1979.0,Hank,Butcher,180.0,70.0,R,R
butchjo01,1957.0,USA,,John,Butcher,185.0,76.0,R,R
butchma01,1910.0,USA,1957.0,Max,Butcher,220.0,74.0,R,R
butchmi01,1965.0,USA,,Mike,Butcher,200.0,73.0,R,R
buterdr01,1983.0,USA,,Drew,Butera,200.0,73.0,R,R
butersa01,1952.0,USA,,Sal,Butera,190.0,72.0,R,R
butkaed01,1916.0,USA,2005.0,Ed,Butka,193.0,75.0,R,R
butlabi01,1918.0,USA,1997.0,Bill,Butland,185.0,77.0,R,L
butlead01,1973.0,USA,,Adam,Butler,225.0,74.0,L,L
butlear01,1887.0,USA,1984.0,Art,Butler,160.0,69.0,R,R
butlebi01,1858.0,USA,1895.0,Bill,Butler,,,,
butlebi02,1947.0,USA,,Bill,Butler,210.0,74.0,L,L
butlebi03,1986.0,USA,,Billy,Butler,260.0,72.0,R,R
butlebr01,1957.0,USA,,Brett,Butler,160.0,70.0,L,L
butlebr02,1978.0,USA,,Brent,Butler,180.0,72.0,R,R
butlece01,1937.0,USA,,Cecil,Butler,195.0,76.0,R,R
butlech01,1906.0,USA,1964.0,Charlie,Butler,210.0,73.0,R,L
butleda01,1986.0,USA,,Dan,Butler,210.0,70.0,R,R
butledi01,1869.0,USA,1917.0,Dick,Butler,,,,
butleed01,1991.0,USA,,Eddie,Butler,180.0,74.0,R,R
butlefr01,1866.0,USA,1945.0,Frank,Butler,155.0,67.0,L,L
butleik01,1873.0,USA,1948.0,Ike,Butler,175.0,72.0,,R
butlejo01,1879.0,USA,1950.0,John,Butler,170.0,67.0,R,R
butlejo02,1893.0,USA,1967.0,Johnny,Butler,175.0,72.0,R,R
butlejo03,1984.0,USA,,Josh,Butler,205.0,77.0,R,R
butlejo04,1986.0,USA,,Joey,Butler,220.0,74.0,R,R
butleke01,1989.0,USA,,Keith,Butler,170.0,72.0,R,R
butleki01,1861.0,USA,1921.0,Kid,Butler,140.0,66.0,,
butleki02,1887.0,USA,1964.0,Kid,Butler,155.0,71.0,R,R
butleor99,1854.0,USA,1915.0,Ormond,Butler,,,,
butleri01,1973.0,CAN,,Rich,Butler,180.0,73.0,L,R
butlero01,1970.0,CAN,,Rob,Butler,185.0,71.0,L,L
buttefr01,1851.0,USA,1902.0,Frank,Buttery,,,,
butteto01,1938.0,USA,2016.0,Tom,Butters,195.0,74.0,R,R
buxtoby01,1993.0,USA,,Byron,Buxton,190.0,74.0,R,R
buxtora01,1911.0,CAN,1988.0,Ralph,Buxton,163.0,71.0,R,R
buzasjo01,1919.0,USA,2003.0,Joe,Buzas,180.0,73.0,R,R
buzhajo01,1936.0,USA,2008.0,John,Buzhardt,195.0,74.0,R,R
byerlbu01,1919.0,USA,2012.0,Bud,Byerly,185.0,74.0,R,R
byersbi01,1877.0,USA,1948.0,Bill,Byers,210.0,67.0,L,R
byersbu01,1875.0,USA,1933.0,Burley,Bayer,175.0,,,
byersra01,1964.0,USA,,Randy,Byers,180.0,74.0,L,R
bynumfr01,1980.0,USA,,Freddie,Bynum,185.0,73.0,L,R
bynummi01,1978.0,USA,,Mike,Bynum,200.0,76.0,L,L
byrdati01,1973.0,USA,,Tim,Byrdak,190.0,71.0,L,L
byrdha01,1925.0,USA,1985.0,Harry,Byrd,188.0,73.0,R,R
byrdje01,1956.0,USA,,Jeff,Byrd,195.0,75.0,R,R
byrdji01,1968.0,USA,,Jim,Byrd,185.0,73.0,R,R
byrdma01,1977.0,USA,,Marlon,Byrd,245.0,72.0,R,R
byrdpa01,1970.0,USA,,Paul,Byrd,185.0,73.0,R,R
byrdsa01,1906.0,USA,1981.0,Samuel,Byrd,175.0,70.0,R,R
byrnebo01,1884.0,USA,1964.0,Bobby,Byrne,145.0,67.0,R,R
byrnech99,1843.0,USA,1898.0,Charlie,Byrne,,,,
byrneer01,1976.0,USA,,Eric,Byrnes,200.0,74.0,R,R
byrneje01,1907.0,USA,1955.0,Jerry,Byrne,170.0,72.0,R,R
byrneji01,1880.0,USA,1941.0,Jim,Byrnes,150.0,69.0,R,R
byrnemi01,1916.0,USA,1979.0,Milt,Byrnes,170.0,70.0,L,L
byrneto01,1919.0,USA,2007.0,Tommy,Byrne,182.0,73.0,L,L
bystrma01,1958.0,USA,,Marty,Bystrom,200.0,77.0,R,R
cabalpu01,1927.0,USA,2016.0,Putsy,Caballero,170.0,70.0,R,R
cabelen01,1949.0,USA,,Enos,Cabell,170.0,76.0,R,R
cabrace01,1989.0,D.R.,,Cesar,Cabral,250.0,75.0,L,L
cabreal01,1881.0,Spain,1964.0,Al,Cabrera,,70.0,R,R
cabreal02,1971.0,Venezuela,,Alex,Cabrera,217.0,74.0,R,R
cabreal03,1988.0,D.R.,,Alberto,Cabrera,210.0,76.0,R,R
cabreas01,1985.0,Venezuela,,Asdrubal,Cabrera,205.0,72.0,B,R
cabreda01,1981.0,D.R.,,Daniel,Cabrera,225.0,79.0,R,R
cabreed01,1987.0,D.R.,,Edwar,Cabrera,195.0,72.0,L,L
cabreev01,1986.0,Nicaragua,,Everth,Cabrera,190.0,70.0,B,R
cabrefe01,1981.0,P.R.,,Fernando,Cabrera,225.0,76.0,R,R
cabrefr01,1966.0,D.R.,,Francisco,Cabrera,195.0,76.0,R,R
cabrejo01,1972.0,D.R.,,Jose,Cabrera,205.0,72.0,R,R
cabrejo02,1972.0,Colombia,,Jolbert,Cabrera,205.0,74.0,R,R
cabrema01,1993.0,D.R.,,Mauricio,Cabrera,245.0,75.0,R,R
cabreme01,1984.0,D.R.,,Melky,Cabrera,210.0,70.0,B,L
cabremi01,1983.0,Venezuela,,Miguel,Cabrera,240.0,76.0,R,R
cabreor01,1974.0,Colombia,,Orlando,Cabrera,195.0,70.0,R,R
cabrera01,1989.0,Venezuela,,Ramon,Cabrera,195.0,68.0,B,R
cacekcr01,1954.0,USA,,Craig,Cacek,200.0,73.0,R,R
cacered01,1964.0,Venezuela,,Edgar,Caceres,170.0,73.0,B,R
cadargr01,1962.0,USA,,Greg,Cadaret,210.0,75.0,L,L
cadorle01,1891.0,USA,1958.0,Leon,Cadore,190.0,73.0,R,R
cadych01,1864.0,USA,1909.0,Charlie,Cady,180.0,71.0,,
cadyhi01,1886.0,USA,1946.0,Hick,Cady,179.0,74.0,R,R
cafegto01,1911.0,USA,1961.0,Tom,Cafego,160.0,70.0,L,R
caffijo01,1931.0,USA,2011.0,Joe,Caffie,180.0,70.0,L,R
caffybe01,1879.0,USA,1942.0,Ben,Caffyn,175.0,70.0,L,L
cagewa01,1951.0,USA,,Wayne,Cage,205.0,76.0,L,L
cahiljo01,1865.0,USA,1901.0,John,Cahill,168.0,67.0,R,R
cahilto01,1868.0,USA,1894.0,Tom,Cahill,150.0,67.0,,
cahiltr01,1988.0,USA,,Trevor,Cahill,240.0,76.0,R,R
cainbo01,1924.0,USA,1997.0,Bob,Cain,165.0,72.0,L,L
cainle01,1948.0,USA,,Les,Cain,200.0,73.0,L,L
cainlo01,1986.0,USA,,Lorenzo,Cain,205.0,74.0,R,R
cainma01,1984.0,USA,,Matt,Cain,230.0,75.0,R,R
cainsu01,1907.0,USA,1975.0,Sugar,Cain,190.0,71.0,L,R
cairnca01,1972.0,Australia,,Cameron,Cairncross,195.0,72.0,L,L
cairomi01,1974.0,Venezuela,,Miguel,Cairo,225.0,73.0,R,R
caithge01,1910.0,USA,1954.0,George,Caithamer,160.0,67.0,R,R
caldeiv01,1962.0,P.R.,2003.0,Ivan,Calderon,220.0,73.0,R,R
caldesa01,1926.0,USA,2006.0,Sam,Calderone,185.0,70.0,R,R
caldwbr01,1906.0,USA,1959.0,Bruce,Caldwell,195.0,72.0,R,R
caldwch01,1901.0,USA,1957.0,Charlie,Caldwell,180.0,70.0,R,R
caldwea01,1905.0,USA,1981.0,Earl,Caldwell,178.0,73.0,R,R
caldwmi01,1949.0,USA,,Mike,Caldwell,185.0,72.0,R,L
caldwra01,1884.0,USA,1969.0,Ralph,Caldwell,155.0,69.0,L,L
caldwra02,1888.0,USA,1967.0,Ray,Caldwell,190.0,74.0,L,R
calerki01,1975.0,P.R.,,Kiko,Calero,180.0,73.0,R,R
calhobi01,1890.0,USA,1955.0,Bill,Calhoun,180.0,72.0,L,L
calhoja01,1879.0,USA,1947.0,Jack,Calhoun,185.0,72.0,R,R
calhoje01,1958.0,USA,,Jeff,Calhoun,190.0,74.0,L,L
calhoko01,1987.0,USA,,Kole,Calhoun,205.0,70.0,L,L
calhowi01,1994.0,USA,,Willie,Calhoun,187.0,68.0,L,R
calica01,1978.0,USA,,Carmen,Cali,185.0,70.0,L,L
caligfr01,1918.0,USA,,Fred,Caligiuri,190.0,72.0,R,R
calihwi01,1868.0,USA,1917.0,Will,Calihan,150.0,68.0,,R
calixor01,1992.0,D.R.,,Orlando,Calixte,180.0,71.0,R,R
callaal01,1983.0,Venezuela,,Alberto,Callaspo,225.0,69.0,B,R
callabe01,1957.0,USA,2007.0,Ben,Callahan,230.0,79.0,R,R
callada01,1888.0,USA,1969.0,Dave,Callahan,165.0,70.0,L,R
callaed01,1857.0,USA,1947.0,Ed,Callahan,,,,
callafr01,1898.0,USA,1987.0,Frank,Callaway,170.0,72.0,R,R
callaja01,1994.0,USA,,Jamie,Callahan,230.0,74.0,R,R
callaji01,1881.0,USA,1968.0,Jim,Callahan,145.0,69.0,R,R
callajo01,1916.0,USA,1949.0,Joe,Callahan,170.0,74.0,R,R
callajo02,1874.0,USA,1954.0,John,Callahan,,,,
callale01,1890.0,USA,1982.0,Leo,Callahan,142.0,68.0,L,L
callama01,1900.0,USA,1975.0,Marty,Callaghan,157.0,70.0,L,L
callami01,1975.0,USA,,Mickey,Callaway,190.0,74.0,R,R
callani01,1874.0,USA,1934.0,Jimmy,Callahan,180.0,70.0,R,R
callapa01,,USA,,Pat,Callaghan,160.0,68.0,,
callara01,1891.0,USA,1973.0,Ray,Callahan,170.0,70.0,L,L
callawe01,1888.0,USA,1953.0,Wese,Callahan,155.0,67.0,R,R
callijo01,1939.0,USA,2006.0,Johnny,Callison,175.0,70.0,L,R
calloro01,1976.0,USA,,Ron,Calloway,210.0,73.0,L,L
calmudi01,1944.0,USA,,Dick,Calmus,187.0,76.0,R,R
calvema01,1956.0,USA,,Mark,Calvert,195.0,73.0,R,R
calvepa01,1917.0,CAN,1999.0,Paul,Calvert,175.0,72.0,R,R
calvoja01,1894.0,Cuba,1965.0,Jack,Calvo,156.0,70.0,L,L
calzana01,1977.0,D.R.,,Napoleon,Calzado,201.0,75.0,R,R
camacer01,1955.0,USA,,Ernie,Camacho,180.0,73.0,R,R
camarjo01,1993.0,Panama,,Johan,Camargo,160.0,72.0,B,R
cambrfr01,1948.0,USA,,Fred,Cambria,195.0,74.0,R,R
camelha01,1914.0,USA,1996.0,Hank,Camelli,190.0,71.0,R,R
camerja01,1884.0,CAN,1963.0,Jack,Cameron,170.0,70.0,R,R
camerke01,1979.0,USA,,Kevin,Cameron,195.0,72.0,R,R
camermi01,1973.0,USA,,Mike,Cameron,210.0,74.0,R,R
camildo01,1907.0,USA,1997.0,Dolph,Camilli,185.0,70.0,L,L
camildo02,1936.0,USA,,Doug,Camilli,195.0,71.0,R,R
camillo01,1946.0,USA,,Lou,Camilli,170.0,70.0,B,R
caminar01,1987.0,D.R.,,Arquimedes,Caminero,245.0,76.0,R,R
caminke01,1963.0,USA,2004.0,Ken,Caminiti,200.0,72.0,B,R
cammaer01,1975.0,USA,,Eric,Cammack,175.0,73.0,R,R
camniha01,1884.0,USA,1951.0,Harry,Camnitz,168.0,73.0,R,R
camniho01,1881.0,USA,1960.0,Howie,Camnitz,169.0,69.0,R,R
campaal01,1916.0,Greece,1998.0,Al,Campanis,185.0,72.0,B,R
campabe01,1942.0,Cuba,,Bert,Campaneris,160.0,70.0,R,R
campaco01,1863.0,USA,1938.0,Count,Campau,160.0,71.0,L,R
campaji01,1944.0,USA,,Jim,Campanis,195.0,72.0,R,R
camparo01,1921.0,USA,1993.0,Roy,Campanella,190.0,69.0,R,R
campato01,1986.0,USA,,Tony,Campana,170.0,68.0,L,L
campbar01,1903.0,USA,1989.0,Archie,Campbell,180.0,72.0,R,R
campbbi01,1873.0,USA,1957.0,Billy,Campbell,165.0,70.0,L,L
campbbi02,1948.0,USA,,Bill,Campbell,185.0,75.0,R,R
campbbr01,1909.0,USA,1995.0,Bruce,Campbell,185.0,73.0,L,R
campbbr02,1981.0,USA,,Brett,Campbell,170.0,72.0,R,R
campbda01,1942.0,USA,,Dave,Campbell,180.0,73.0,R,R
campbda02,1951.0,USA,,Dave,Campbell,210.0,75.0,R,R
campber01,1987.0,USA,,Eric,Campbell,215.0,75.0,R,R
campbgi01,1908.0,USA,1973.0,Gilly,Campbell,182.0,67.0,L,R
campbhu01,1846.0,Ireland,1881.0,Hugh,Campbell,,,,
campbhu02,1884.0,USA,1946.0,Marc,Campbell,155.0,70.0,L,R
campbji01,1937.0,USA,,Jim,Campbell,190.0,72.0,R,R
campbji02,1943.0,USA,,Jim,Campbell,205.0,72.0,L,R
campbji03,1966.0,USA,,Jim,Campbell,175.0,71.0,L,L
campbjo01,1907.0,USA,1995.0,John,Campbell,184.0,73.0,R,R
campbjo02,1944.0,USA,,Joe,Campbell,175.0,73.0,R,R
campbke01,1964.0,USA,,Kevin,Campbell,225.0,74.0,R,R
campbmi01,1964.0,USA,,Mike,Campbell,210.0,75.0,R,R
campbmi02,1850.0,Ireland,1926.0,Michael,Campbell,,,,
campbpa01,1917.0,USA,2006.0,Paul,Campbell,185.0,70.0,L,L
campbro01,1940.0,USA,,Ron,Campbell,180.0,73.0,R,R
campbsa01,,USA,,Sam,Campbell,,,,
campbso01,1915.0,USA,2000.0,Soup,Campbell,188.0,73.0,L,R
campbvi01,1888.0,USA,1969.0,Vin,Campbell,185.0,72.0,L,R
campeca01,1952.0,USA,2010.0,Cardell,Camper,208.0,75.0,R,R
campfsa01,1868.0,USA,1952.0,Sal,Campfield,185.0,72.0,R,R
campho01,1893.0,USA,1960.0,Howie,Camp,169.0,69.0,L,R
campijo01,1978.0,Mexico,,Jorge,Campillo,230.0,72.0,R,R
campisa01,1942.0,USA,,Sal,Campisi,210.0,74.0,R,R
campki01,1869.0,USA,1895.0,Kid,Camp,160.0,72.0,B,R
cample01,1868.0,USA,1948.0,Lew,Camp,175.0,72.0,L,R
campofr01,1924.0,Cuba,2006.0,Frank,Campos,180.0,71.0,L,L
campojo01,1992.0,Venezuela,,Vicente,Campos,230.0,75.0,R,R
campole01,1987.0,Venezuela,,Leonel,Campos,215.0,74.0,R,R
campri01,1953.0,USA,2013.0,Rick,Camp,195.0,73.0,R,R
campsh01,1975.0,USA,,Shawn,Camp,205.0,73.0,R,R
campusi01,1965.0,D.R.,,Sil,Campusano,160.0,72.0,R,R
canalge01,1965.0,USA,,George,Canale,190.0,73.0,L,R
canatwi01,1971.0,Venezuela,,Willie,Canate,170.0,72.0,R,R
canavhu01,1897.0,USA,1967.0,Hugh,Canavan,160.0,68.0,L,L
canavji01,1866.0,USA,1949.0,Jim,Canavan,160.0,68.0,R,R
cancero01,1976.0,P.R.,,Robinson,Cancel,225.0,71.0,R,R
candaca01,1961.0,USA,,Casey,Candaele,160.0,69.0,B,R
candeje01,1993.0,USA,,Jeimer,Candelario,210.0,73.0,B,R
candejo01,1953.0,USA,,John,Candelaria,230.0,79.0,L,L
candimi01,1917.0,USA,1998.0,Milo,Candini,187.0,72.0,R,R
candito01,1957.0,USA,,Tom,Candiotti,205.0,75.0,R,R
caneijo01,1952.0,USA,,John,Caneira,180.0,75.0,R,R
cangejo01,1963.0,USA,,John,Cangelosi,150.0,68.0,B,L
canhama01,1989.0,USA,,Mark,Canha,210.0,74.0,R,R
canizba01,1979.0,Cuba,,Barbaro,Canizares,240.0,75.0,R,R
canizja01,1973.0,USA,,Jay,Canizaro,170.0,69.0,R,R
canneri01,1880.0,USA,1948.0,Rip,Cannell,180.0,70.0,L,R
cannian01,1978.0,USA,,Andy,Cannizaro,170.0,70.0,R,R
cannich01,1938.0,USA,2016.0,Chris,Cannizzaro,190.0,72.0,R,R
cannojo01,1953.0,USA,,Joe,Cannon,193.0,75.0,L,R
canojo01,1962.0,D.R.,,Jose,Cano,175.0,75.0,R,R
canoro01,1982.0,D.R.,,Robinson,Cano,210.0,72.0,L,R
cansejo01,1964.0,Cuba,,Jose,Canseco,240.0,76.0,R,R
canseoz01,1964.0,Cuba,,Ozzie,Canseco,220.0,74.0,R,R
cantijo99,1861.0,USA,1930.0,Joe,Cantillon,,,,
cantrgu01,1904.0,USA,1961.0,Guy,Cantrell,190.0,72.0,R,R
cantujo01,1982.0,USA,,Jorge,Cantu,205.0,75.0,R,R
cantwbe01,1902.0,USA,1962.0,Ben,Cantwell,168.0,73.0,R,R
cantwmi01,1894.0,USA,1953.0,Mike,Cantwell,160.0,72.0,L,L
cantwto01,1888.0,USA,1968.0,Tom,Cantwell,175.0,73.0,R,R
cantzba01,1860.0,USA,1943.0,Bart,Cantz,,,R,R
canzlru01,1986.0,USA,,Russ,Canzler,220.0,74.0,R,R
capeljo01,1981.0,D.R.,2015.0,Jose,Capellan,245.0,76.0,R,R
capelmi01,1961.0,USA,,Mike,Capel,175.0,73.0,R,R
capildo01,1952.0,USA,,Doug,Capilla,160.0,71.0,L,L
cappsca01,1990.0,USA,,Carter,Capps,230.0,77.0,R,R
cappsma01,1983.0,USA,,Matt,Capps,250.0,74.0,R,R
cappuge01,1954.0,USA,,George,Cappuzzello,175.0,72.0,R,L
caprabu01,1947.0,USA,,Buzz,Capra,168.0,70.0,R,R
caprani01,1958.0,USA,,Nick,Capra,165.0,68.0,R,R
capripa01,1918.0,USA,1989.0,Pat,Capri,170.0,72.0,R,R
caprora01,1889.0,USA,1980.0,Ralph,Capron,165.0,71.0,L,R
capuach01,1978.0,USA,,Chris,Capuano,225.0,74.0,L,L
carabra01,1969.0,D.R.,,Ramon,Caraballo,150.0,67.0,B,R
carasma01,1991.0,USA,,Matt,Carasiti,205.0,75.0,R,R
caratvi01,1993.0,P.R.,,Victor,Caratini,215.0,73.0,B,R
carawpa01,1905.0,USA,1974.0,Pat,Caraway,175.0,76.0,L,L
carbijo01,1855.0,USA,1915.0,John,Carbine,187.0,72.0,,
carbobe01,1947.0,USA,,Bernie,Carbo,173.0,71.0,L,R
cardead01,1987.0,USA,,Adrian,Cardenas,205.0,72.0,L,R
cardejo01,1921.0,USA,1949.0,John,Carden,210.0,77.0,R,R
cardejo02,1943.0,Cuba,,Jose,Cardenal,150.0,70.0,R,R
cardele01,1938.0,Cuba,,Leo,Cardenas,160.0,71.0,R,R
cardico01,1942.0,USA,,Conrad,Cardinal,190.0,73.0,R,R
cardobe01,1920.0,USA,1969.0,Ben,Cardoni,195.0,75.0,R,R
cardoja01,1975.0,P.R.,,Javier,Cardona,185.0,73.0,R,R
cardust01,1987.0,USA,,Stephen,Cardullo,215.0,72.0,R,R
cardwdo01,1935.0,USA,2008.0,Don,Cardwell,210.0,76.0,R,R
carewro01,1945.0,Panama,,Rod,Carew,170.0,72.0,L,R
careyan01,1931.0,USA,2011.0,Andy,Carey,190.0,73.0,R,R
careyma01,1890.0,USA,1976.0,Max,Carey,170.0,71.0,B,R
careypa01,1968.0,USA,,Paul,Carey,220.0,76.0,L,R
careyro01,1865.0,USA,1895.0,Roger,Carey,,,,
careysc01,1870.0,USA,1916.0,Scoops,Carey,175.0,71.0,R,R
careyto01,1846.0,USA,1906.0,Tom,Carey,145.0,68.0,R,R
careyto02,1906.0,USA,1970.0,Tom,Carey,170.0,68.0,R,R
carfred01,1863.0,USA,1921.0,Ed,Carfrey,158.0,68.0,,
cargobo01,1868.0,USA,1904.0,Bobby,Cargo,,,R,R
carides01,1983.0,D.R.,,Esmailin,Caridad,195.0,70.0,R,R
carigan01,1986.0,USA,,Andrew,Carignan,235.0,71.0,R,R
carisfr01,1881.0,USA,1977.0,Fred,Carisch,174.0,70.0,R,R
carleji01,1848.0,USA,1910.0,Jim,Carleton,155.0,68.0,,
carlesh01,1991.0,USA,,Shane,Carle,185.0,76.0,R,R
carlete01,1906.0,USA,1977.0,Tex,Carleton,180.0,73.0,B,R
carlfr01,1858.0,USA,1899.0,Fred,Carl,158.0,66.0,L,L
carliji01,1918.0,USA,2003.0,Jim,Carlin,165.0,71.0,R,R
carlilu01,1980.0,USA,,Luke,Carlin,190.0,70.0,B,R
carliwa01,1881.0,United Kingdom,1945.0,Walter,Carlisle,154.0,69.0,B,R
carlle01,1832.0,USA,1885.0,Lew,Carl,,,,
carloci01,1940.0,USA,,Cisco,Carlos,205.0,75.0,R,R
carlsda01,1970.0,USA,,Dan,Carlson,185.0,73.0,R,R
carlsdo01,1926.0,USA,2002.0,Don,Carlsen,175.0,73.0,R,R
carlsha01,1892.0,USA,1930.0,Hal,Carlson,180.0,72.0,R,R
carlsje01,1980.0,USA,,Jesse,Carlson,160.0,72.0,L,L
carlsle01,1895.0,USA,1961.0,Leon,Carlson,195.0,75.0,R,R
carlssw01,1886.0,USA,1935.0,Swede,Carlstrom,167.0,72.0,R,R
carltst01,1944.0,USA,,Steve,Carlton,210.0,76.0,L,L
carlybu01,1977.0,USA,,Buddy,Carlyle,210.0,75.0,L,R
carlycl01,1902.0,USA,1967.0,Cleo,Carlyle,170.0,72.0,L,R
carlyro01,1900.0,USA,1956.0,Roy,Carlyle,195.0,74.0,L,R
carmado01,1959.0,USA,,Don,Carman,195.0,75.0,L,L
carmage01,1866.0,USA,1929.0,George,Carman,139.0,64.0,,
carmedu01,1937.0,USA,,Duke,Carmel,202.0,75.0,L,L
carmich01,1888.0,USA,1960.0,Chet,Carmichael,200.0,71.0,R,R
carmofa01,1980.0,D.R.,,Roberto,Hernandez,270.0,76.0,R,R
carmora01,1972.0,P.R.,,Rafael,Carmona,185.0,74.0,L,R
carnebi01,1874.0,USA,1938.0,Bill,Carney,,70.0,B,R
carneed01,1916.0,USA,2016.0,Eddie,Carnett,185.0,72.0,L,L
carnejo01,1866.0,USA,1925.0,Jack,Carney,175.0,70.0,R,R
carnepa01,1876.0,USA,1953.0,Pat,Carney,200.0,72.0,L,L
carpean01,1985.0,USA,,Drew,Carpenter,240.0,75.0,R,R
carpebo01,1917.0,USA,2005.0,Bob,Carpenter,195.0,75.0,R,R
carpebu01,1968.0,USA,,Bubba,Carpenter,195.0,73.0,L,L
carpech01,1975.0,USA,,Chris,Carpenter,230.0,78.0,R,R
carpech02,1985.0,USA,,Chris,Carpenter,220.0,76.0,R,R
carpecr01,1965.0,USA,,Cris,Carpenter,195.0,73.0,R,R
carpeda01,1985.0,USA,,David,Carpenter,250.0,75.0,R,R
carpeda02,1987.0,USA,,David,Carpenter,180.0,75.0,R,R
carpehi01,1855.0,USA,1937.0,Hick,Carpenter,186.0,71.0,R,L
carpele01,1913.0,USA,1979.0,Lew,Carpenter,195.0,74.0,R,R
carpema01,1985.0,USA,,Matt,Carpenter,205.0,75.0,L,R
carpepa01,1894.0,USA,1968.0,Paul,Carpenter,165.0,71.0,R,R
carpifr01,1938.0,USA,,Frank,Carpin,172.0,70.0,L,L
carpmi01,1986.0,USA,,Mike,Carp,210.0,72.0,L,R
carraal01,1912.0,Venezuela,1969.0,Alex,Carrasquel,182.0,73.0,R,R
carraca01,1987.0,Venezuela,,Carlos,Carrasco,212.0,75.0,R,R
carrach01,1926.0,Venezuela,2005.0,Chico,Carrasquel,170.0,72.0,R,R
carradj01,1977.0,USA,,D. J.,Carrasco,215.0,76.0,R,R
carragi01,1968.0,Venezuela,,Giovanni,Carrara,225.0,74.0,R,R
carrahe01,1969.0,D.R.,,Hector,Carrasco,235.0,74.0,R,R
carrch01,1876.0,USA,1932.0,Charlie,Carr,195.0,74.0,R,R
carrch02,1967.0,USA,,Chuck,Carr,155.0,70.0,B,R
carream01,1964.0,Venezuela,,Amalio,Carreno,170.0,72.0,R,R
carreca01,1937.0,USA,1987.0,Cam,Carreon,190.0,73.0,R,R
carreez01,1987.0,Venezuela,,Ezequiel,Carrera,185.0,71.0,L,L
carrejo01,1987.0,D.R.,,Joel,Carreno,255.0,74.0,R,R
carrema01,1963.0,USA,,Mark,Carreon,170.0,72.0,R,L
carribi01,1873.0,USA,1932.0,Bill,Carrick,150.0,70.0,R,R
carribi02,1883.0,USA,1969.0,Bill,Carrigan,175.0,69.0,R,R
carrice01,1984.0,USA,,Cesar,Carrillo,170.0,75.0,R,R
carrido01,1949.0,USA,,Don,Carrithers,180.0,74.0,R,R
carrima01,1963.0,Mexico,,Matias,Carrillo,185.0,71.0,L,L
carrle01,1872.0,USA,1954.0,Lew,Carr,200.0,74.0,R,R
carrobr01,1982.0,USA,,Brett,Carroll,210.0,71.0,R,R
carroch01,,,,,Carroll,,,,
carrocl01,1859.0,USA,1923.0,Cliff,Carroll,163.0,68.0,B,R
carrocl02,1941.0,USA,,Clay,Carroll,178.0,73.0,R,R
carrodi01,1884.0,USA,1945.0,Dick,Carroll,,74.0,R,R
carrodi02,1891.0,USA,1984.0,Dixie,Carroll,165.0,71.0,L,R
carrodo01,1891.0,USA,1983.0,Doc,Carroll,170.0,72.0,R,R
carroed01,1907.0,USA,1984.0,Ed,Carroll,185.0,75.0,R,R
carrofr01,1864.0,USA,1904.0,Fred,Carroll,185.0,71.0,R,R
carroja01,1974.0,USA,,Jamey,Carroll,175.0,70.0,R,R
carroow01,1902.0,USA,1975.0,Ownie,Carroll,165.0,70.0,R,R
carropa01,1853.0,USA,1916.0,Pat,Carroll,,,,
carrosc01,1860.0,USA,1942.0,Scrappy,Carroll,160.0,67.0,R,
carrosc02,1984.0,USA,,Scott,Carroll,215.0,76.0,R,R
carroto01,1936.0,USA,,Tom,Carroll,186.0,75.0,R,R
carroto02,1952.0,USA,,Tom,Carroll,190.0,75.0,L,R
carseki01,1872.0,USA,1960.0,Kid,Carsey,168.0,67.0,L,R
